本地菜品分类,淘点点分类ID
铁板烧系列,50024702
头盘,50024702
团团圆圆（已包含1元打包费）,50024702
推荐菜（已包含一元打包盒费用）,50024702
推荐菜品（已包含一元打包费）,50024702
推荐干锅,50024702
推荐类,50024702
推荐美食,50024702
推荐篇,50024702
瓦罐,50024702
丸类,50024702
晚上（16:30-20:00）,50024702
望穿秋水,50024702
微菜,50024702
微菜特色,50024702
维High素,50024702
位菜,50024702
味道北京,50024702
乌龙系列,50024702
无骨凤爪,50024702
无骨炸鸡类,50024702
无国界,50024702
无国界精选,50024702
五谷杂粮,50024702
武汉小吃,50024702
西北菜,50024702
西贝风味,50024702
西贝凉菜,50024702
西式,50024702
西式风情,50024702
西式烹调,50024702
喜圆系列,50024702
细卷物,50024702
细卷系列（6个）,50024702
细绢及手卷,50024702
虾蟹一族,50024702
下午茶最佳搭配,50024702
香醇炖锅,50024702
香锅（每份含一元打包费）,50024702
香锅，火锅,50024702
香锅伴侣,50024702
香锅伴侣（三份起做）,50024702
香锅伴侣之豆制品蛋系列（请选择锅底）,50024702
香锅伴侣之海鲜系列（请选择锅底）,50024702
香锅伴侣之荤菜系列（请选择锅底）,50024702
香锅伴侣之菌菇系列（请选择锅底）,50024702
香锅伴侣之素菜系列（请选择锅底）,50024702
香锅伴侣之特别推荐（请选择锅底）,50024702
香锅锅底,50024702
香锅荤菜类,50024702
香锅配菜,50024702
香锅篇,50024702
香锅素菜类,50024702
香锅系列,50024702
香锅系列（已包含一元打包费）,50024702
香辣风味,50024702
香浓煨炖,50024702
香炸类,50024702
湘菜海味,50024702
湘菜篇,50024702
湘菜特色,50024702
湘辣美味,50024702
湘味传奇,50024702
湘味湘情,50024702
湘西精品,50024702
湘汁湘味,50024702
湘知湘味,50024702
享家蒸包,50024702
消除疲劳强身健体,50024702
消脂轻体,50024702
小菜系列,50024702
小吃台湾风味,50024702
小吃系列,50024702
小吃系列（50克）,50024702
小吃主食类,50024702
小馆水产,50024702
小馆味道,50024702
小馆招牌菜,50024702
小馆主食,50024702
小火锅,50024702
小凉菜,50024702
小料区,50024702
小料系列,50024702
蟹柳系列（无折扣）,50024702
新菜,50024702
